probe_name,sample_name,num_images,threshold,mean_fake_prob,min_fake_prob,max_fake_prob,fake_positive_rate
animations,s42--d9,32,0.6,9.028088243212551e-05,4.6993169355857844e-09,0.0008759608026593924,0.0
animations,s42--d9,32,0.7,9.028088243212551e-05,4.6993169355857844e-09,0.0008759608026593924,0.0
animations,s42--d9,32,0.8,9.028088243212551e-05,4.6993169355857844e-09,0.0008759608026593924,0.0
animations,s42--d9,32,0.9,9.028088243212551e-05,4.6993169355857844e-09,0.0008759608026593924,0.0
kobe_test,kobe_sample,24,0.1,0.09688561409711838,5.494716788234655e-06,0.643512487411499,0.20833333333333334
kobe_test,kobe_sample,24,0.2,0.09688561409711838,5.494716788234655e-06,0.643512487411499,0.20833333333333334
kobe_test,kobe_sample,24,0.3,0.09688561409711838,5.494716788234655e-06,0.643512487411499,0.16666666666666666
kobe_test,kobe_sample,24,0.4,0.09688561409711838,5.494716788234655e-06,0.643512487411499,0.16666666666666666
kobe_test,kobe_sample,24,0.5,0.09688561409711838,5.494716788234655e-06,0.643512487411499,0.08333333333333333
kobe_test,kobe_sample,24,0.6,0.09688561409711838,5.494716788234655e-06,0.643512487411499,0.041666666666666664
kobe_test,kobe_sample,24,0.7,0.09688561409711838,5.494716788234655e-06,0.643512487411499,0.0
kobe_test,kobe_sample,24,0.8,0.09688561409711838,5.494716788234655e-06,0.643512487411499,0.0
kobe_test,kobe_sample,24,0.9,0.09688561409711838,5.494716788234655e-06,0.643512487411499,0.0
tiktok,sampled_bundle,48,0.1,0.29695531725883484,7.687066499784123e-06,0.9997332692146301,0.4166666666666667
tiktok,sampled_bundle,48,0.2,0.29695531725883484,7.687066499784123e-06,0.9997332692146301,0.3125
tiktok,sampled_bundle,48,0.3,0.29695531725883484,7.687066499784123e-06,0.9997332692146301,0.2916666666666667
tiktok,sampled_bundle,48,0.4,0.29695531725883484,7.687066499784123e-06,0.9997332692146301,0.2916666666666667
tiktok,sampled_bundle,48,0.5,0.29695531725883484,7.687066499784123e-06,0.9997332692146301,0.2916666666666667
tiktok,sampled_bundle,48,0.6,0.29695531725883484,7.687066499784123e-06,0.9997332692146301,0.2916666666666667
tiktok,sampled_bundle,48,0.7,0.29695531725883484,7.687066499784123e-06,0.9997332692146301,0.25
tiktok,sampled_bundle,48,0.8,0.29695531725883484,7.687066499784123e-06,0.9997332692146301,0.25
tiktok,sampled_bundle,48,0.9,0.29695531725883484,7.687066499784123e-06,0.9997332692146301,0.22916666666666666
