split,model,group,method,num_fake,num_real,accuracy,balanced_accuracy,fake_accuracy,real_accuracy,auc
test_ff,full_fusion,FR,one_shot_free,4470,2000,0.9795981452859351,0.9671381431767339,0.9997762863534676,0.9345,0.9996420581655481
test_ff,full_fusion,FR,pirender,4478,2000,0.9786971287434393,0.9664684010719071,0.9984368021438143,0.9345,0.9991279589102279
test_ff,full_fusion,FR,sadtalker,4415,2000,0.9335931410756041,0.9338411664779163,0.9331823329558324,0.9345,0.9815379388448471
test_ff,full_fusion,FR,tpsm,4442,2000,0.9796647004036013,0.9672499999999999,1.0,0.9345,0.9993233903647006
test_ff,full_fusion,FR,wav2lip,4378,2000,0.8609281906553778,0.8809092051164915,0.8273184102329831,0.9345,0.9559805847418912
test_ff,full_fusion,FS,blendface,4467,2000,0.961187567651152,0.9538181665547347,0.9731363331094695,0.9345,0.9933457577792703
test_ff,full_fusion,FS,e4s,3662,2000,0.9680324973507595,0.9604231294374659,0.9863462588749318,0.9345,0.9955020480611688
test_ff,full_fusion,FS,facedancer,4458,2000,0.8916073087643234,0.9034321444593989,0.8723642889187977,0.9345,0.9683078734858681
test_ff,full_fusion,FS,faceswap,4461,2000,0.8291286178610122,0.8581937345886572,0.7818874691773146,0.9345,0.9311851602779647
test_ff,full_fusion,FS,fsgan,4455,2000,0.9395817195972115,0.9381815375982043,0.9418630751964086,0.9345,0.9841052749719417
test_ff,full_fusion,FS,inswap,3762,2000,0.9378687955570982,0.9370798777246145,0.9396597554492291,0.9345,0.9844821903242956
test_ff,full_fusion,FS,mobileswap,4455,2000,0.9604957397366383,0.9533330527497195,0.9721661054994388,0.9345,0.9924663299663299
test_ff,full_fusion,FS,simswap,4468,2000,0.9605751391465677,0.953373545210385,0.97224709042077,0.9345,0.9929574753804834
test_ff,full_fusion,FS,uniface,4465,2000,0.9716937354988399,0.9614269316909294,0.9883538633818589,0.9345,0.9969124300111982
test_ff,route_meta_fusion,EFS,DiT,3711,2000,0.928208720014008,0.9348459983831852,0.9126919967663703,0.957,0.9854250875774724
test_ff,route_meta_fusion,EFS,RDDM,3711,2000,0.9847662405883383,0.9783652654271086,0.9997305308542171,0.957,0.9999804634869307
test_ff,route_meta_fusion,EFS,SiT,3711,2000,0.9504465067413763,0.9519572891403933,0.9469145782807868,0.957,0.9908601455133388
test_ff,route_meta_fusion,EFS,StyleGAN2,3711,2000,0.984941341271231,0.9784999999999999,1.0,0.957,0.9999986526542711
test_ff,route_meta_fusion,EFS,StyleGAN3,3711,2000,0.984941341271231,0.9784999999999999,1.0,0.957,0.9999986526542711
test_ff,route_meta_fusion,EFS,StyleGANXL,2783,2000,0.9820196529374869,0.9784999999999999,1.0,0.957,0.999999820337765
test_ff,route_meta_fusion,EFS,VQGAN,3711,2000,0.9847662405883383,0.9783652654271086,0.9997305308542171,0.957,0.999972648881703
test_ff,route_meta_fusion,EFS,ddim,3711,2000,0.9761863071265978,0.9717632713554298,0.9865265427108596,0.957,0.9980716787927782
test_ff,route_meta_fusion,EFS,pixart,3711,2000,0.9810891262475924,0.9755358393963891,0.9940716787927782,0.957,0.999173538129884
test_ff,route_meta_fusion,EFS,sd2.1,3711,2000,0.983365435125197,0.9772873888439774,0.9975747776879548,0.957,0.9995563190514686
test_ff,route_meta_fusion,FE,e4e,4479,2000,0.986726346658435,0.9784999999999999,1.0,0.957,0.9999790131725832
test_ff,route_meta_fusion,FE,stargan,200,2000,0.9604545454545454,0.976,0.995,0.957,0.9992099999999999
test_ff,route_meta_fusion,FE,starganv2,200,2000,0.9609090909090909,0.9784999999999999,1.0,0.957,0.9996175
test_ff,route_meta_fusion,FR,MRAA,4455,2000,0.9612703330751355,0.9600937149270483,0.9631874298540966,0.957,0.993708305274972
test_ff,route_meta_fusion,FR,danet,4411,2000,0.9525815005459367,0.9537890501020176,0.9505781002040353,0.957,0.9902422353207889
test_ff,route_meta_fusion,FR,facevid2vid,4467,2000,0.9865470852017937,0.9783880680546228,0.9997761361092455,0.957,0.9998570629057533
test_ff,route_meta_fusion,FR,fomm,4454,2000,0.9793926247288504,0.9732238437359677,0.9894476874719353,0.957,0.9982174449932646
test_ff,route_meta_fusion,FR,hyperreenact,4479,2000,0.9845655193702731,0.9769371511498102,0.9968743022996205,0.957,0.9995329314579147
test_ff,route_meta_fusion,FR,lia,4447,2000,0.9345431983868466,0.940721722509557,0.924443445019114,0.957,0.9865501461659545
test_ff,route_meta_fusion,FR,mcnet,4400,2000,0.96140625,0.9602045454545454,0.9634090909090909,0.957,0.9930861363636363
test_ff,route_meta_fusion,FR,one_shot_free,4470,2000,0.973724884080371,0.9691040268456376,0.9812080536912752,0.957,0.9967002237136464
test_ff,route_meta_fusion,FR,pirender,4478,2000,0.97360296387774,0.9690091558731577,0.9810183117463154,0.957,0.9964239615899956
test_ff,route_meta_fusion,FR,sadtalker,4415,2000,0.8180826188620421,0.8560764439411098,0.7551528878822197,0.957,0.9513481313703284
test_ff,route_meta_fusion,FR,tpsm,4442,2000,0.9628997205836697,0.9612780279153534,0.9655560558307069,0.957,0.9936318099954976
test_ff,route_meta_fusion,FR,wav2lip,4378,2000,0.7546252743806836,0.8095872544540885,0.6621745089081772,0.957,0.9326621745089083
test_ff,route_meta_fusion,FS,blendface,4467,2000,0.940930879851554,0.9453681441683457,0.9337362883366913,0.957,0.988088426236848
test_ff,route_meta_fusion,FS,e4s,3662,2000,0.9652066407629812,0.9633443473511742,0.9696886947023484,0.957,0.9930916166029492
test_ff,route_meta_fusion,FS,facedancer,4458,2000,0.8756580984825023,0.8980827725437416,0.8391655450874832,0.957,0.9680722296994168
test_ff,route_meta_fusion,FS,faceswap,4461,2000,0.8353196099674973,0.868883322125084,0.7807666442501682,0.957,0.9489818426361801
test_ff,route_meta_fusion,FS,fsgan,4455,2000,0.9134004647560031,0.9254135802469136,0.8938271604938272,0.957,0.977727946127946
test_ff,route_meta_fusion,FS,inswap,3762,2000,0.9007289135716765,0.9139066985645933,0.8708133971291866,0.957,0.9754618553960659
test_ff,route_meta_fusion,FS,mobileswap,4455,2000,0.9429899302865995,0.9468501683501683,0.9367003367003367,0.957,0.9899050505050505
test_ff,route_meta_fusion,FS,simswap,4468,2000,0.9440321583178726,0.9476136974037601,0.9382273948075202,0.957,0.98865051477171
test_ff,route_meta_fusion,FS,uniface,4465,2000,0.9583913379737046,0.9580072788353864,0.9590145576707727,0.957,0.9929941769316909
test_ff,bridge_allocator_only,EFS,DiT,3711,2000,0.89546489231308,0.8698840609000269,0.9552681218000539,0.7845,0.9495098356238211
test_ff,bridge_allocator_only,EFS,RDDM,3711,2000,0.9245316056732621,0.89225,1.0,0.7845,0.9844808003233629
test_ff,bridge_allocator_only,EFS,SiT,3711,2000,0.9059709332866398,0.8779681352735111,0.9714362705470224,0.7845,0.9584872002155754
test_ff,bridge_allocator_only,EFS,StyleGAN2,3711,2000,0.9245316056732621,0.89225,1.0,0.7845,0.9830214901643761
test_ff,bridge_allocator_only,EFS,StyleGAN3,3711,2000,0.9245316056732621,0.89225,1.0,0.7845,0.9830207491242252
test_ff,bridge_allocator_only,EFS,StyleGANXL,2783,2000,0.9098891908843821,0.89225,1.0,0.7845,0.9859213977721885
test_ff,bridge_allocator_only,EFS,VQGAN,3711,2000,0.9245316056732621,0.89225,1.0,0.7845,0.9855849501482081
test_ff,bridge_allocator_only,EFS,ddim,3711,2000,0.9196287865522675,0.8884774319590407,0.9924548639180814,0.7845,0.9701262462947993
test_ff,bridge_allocator_only,EFS,pixart,3711,2000,0.9238312029416915,0.8917110617084344,0.9989221234168688,0.7845,0.9780750471571005
test_ff,bridge_allocator_only,EFS,sd2.1,3711,2000,0.9234810015759062,0.8914415925626515,0.9983831851253031,0.7845,0.9809595122608461
test_ff,bridge_allocator_only,FE,e4e,4479,2000,0.9334773884858775,0.89225,1.0,0.7845,0.9994326858673811
test_ff,bridge_allocator_only,FE,stargan,200,2000,0.8036363636363636,0.88975,0.995,0.7845,0.9969900000000002
test_ff,bridge_allocator_only,FE,starganv2,200,2000,0.8040909090909091,0.89225,1.0,0.7845,0.9986237499999999
test_ff,bridge_allocator_only,FR,MRAA,4455,2000,0.926568551510457,0.8874239618406286,0.990347923681257,0.7845,0.9797388888888888
test_ff,bridge_allocator_only,FR,danet,4411,2000,0.9048510372796755,0.8719598163681705,0.959419632736341,0.7845,0.9699493878939017
test_ff,bridge_allocator_only,FR,facevid2vid,4467,2000,0.9331993196226999,0.8921380680546227,0.9997761361092455,0.7845,0.987492444593687
test_ff,bridge_allocator_only,FR,fomm,4454,2000,0.9313603966532383,0.890902896273013,0.997305792546026,0.7845,0.9861100696003592
test_ff,bridge_allocator_only,FR,hyperreenact,4479,2000,0.9330143540669856,0.8919151038178165,0.999330207635633,0.7845,0.9877975552578702
test_ff,bridge_allocator_only,FR,lia,4447,2000,0.90181479758027,0.8695380593658646,0.9545761187317292,0.7845,0.964871711266022
test_ff,bridge_allocator_only,FR,mcnet,4400,2000,0.91328125,0.8781590909090908,0.9718181818181818,0.7845,0.9756939772727272
test_ff,bridge_allocator_only,FR,one_shot_free,4470,2000,0.9234930448222566,0.8850911633109619,0.9856823266219239,0.7845,0.982185067114094
test_ff,bridge_allocator_only,FR,pirender,4478,2000,0.9242050015436863,0.8855505806163466,0.9866011612326931,0.7845,0.9829993858865567
test_ff,bridge_allocator_only,FR,sadtalker,4415,2000,0.8310210444271239,0.8182975651189128,0.8520951302378256,0.7845,0.9101766138165345
test_ff,bridge_allocator_only,FR,tpsm,4442,2000,0.9150884818379386,0.8791928185502026,0.9738856371004052,0.7845,0.9761191467807294
test_ff,bridge_allocator_only,FR,wav2lip,4378,2000,0.8148322358105989,0.8065944495203289,0.8286888990406578,0.7845,0.8898746573777981
test_ff,bridge_allocator_only,FS,blendface,4467,2000,0.909540745322406,0.8750124804119095,0.9655249608238191,0.7845,0.9677384710096263
test_ff,bridge_allocator_only,FS,e4s,3662,2000,0.9138113740727658,0.8844673675587111,0.9844347351174222,0.7845,0.9782183233205899
test_ff,bridge_allocator_only,FS,facedancer,4458,2000,0.8750387116754413,0.8500786227007626,0.9156572454015254,0.7845,0.9379587258860476
test_ff,bridge_allocator_only,FS,faceswap,4461,2000,0.8689057421451788,0.8456236830307107,0.9067473660614213,0.7845,0.9296882985877606
test_ff,bridge_allocator_only,FS,fsgan,4455,2000,0.8975987606506584,0.8664363075196408,0.9483726150392817,0.7845,0.9541604938271604
test_ff,bridge_allocator_only,FS,inswap,3762,2000,0.8807705657757723,0.8582255449229133,0.9319510898458266,0.7845,0.9458699494949494
test_ff,bridge_allocator_only,FS,mobileswap,4455,2000,0.9192873741285825,0.8821489898989898,0.9797979797979798,0.7845,0.9734574635241302
test_ff,bridge_allocator_only,FS,simswap,4468,2000,0.9141929499072357,0.8783735452103849,0.97224709042077,0.7845,0.9659827103849598
test_ff,bridge_allocator_only,FS,uniface,4465,2000,0.9195668986852281,0.88228359462486,0.98006718924972,0.7845,0.9759938969764836
test_ff,bridge_expert_mean,EFS,DiT,3711,2000,0.894414288215724,0.8747236593909997,0.9404473187819995,0.809,0.9551682834815415
test_ff,bridge_expert_mean,EFS,RDDM,3711,2000,0.9331115391350027,0.9045000000000001,1.0,0.809,0.9997026407976286
test_ff,bridge_expert_mean,EFS,SiT,3711,2000,0.9082472421642445,0.8853676906494207,0.9617353812988413,0.809,0.9629621395850174
test_ff,bridge_expert_mean,EFS,StyleGAN2,3711,2000,0.9331115391350027,0.9045000000000001,1.0,0.809,0.98255591484775
test_ff,bridge_expert_mean,EFS,StyleGAN3,3711,2000,0.9331115391350027,0.9045000000000001,1.0,0.809,0.9825481002425223
test_ff,bridge_expert_mean,EFS,StyleGANXL,2783,2000,0.9201338072339535,0.9045000000000001,1.0,0.809,0.9922472152353575
test_ff,bridge_expert_mean,EFS,VQGAN,3711,2000,0.9331115391350027,0.9045000000000001,1.0,0.809,0.9913817030450013
test_ff,bridge_expert_mean,EFS,ddim,3711,2000,0.9287340220626861,0.9011316356777149,0.9932632713554298,0.809,0.9646891673403395
test_ff,bridge_expert_mean,EFS,pixart,3711,2000,0.932411136403432,0.9039610617084344,0.9989221234168688,0.809,0.9811991376987336
test_ff,bridge_expert_mean,EFS,sd2.1,3711,2000,0.9325862370863246,0.9040957962813259,0.9991915925626516,0.809,0.9810098356238209
test_ff,bridge_expert_mean,FE,e4e,4479,2000,0.9408859391881463,0.9043883679392721,0.9997767358785443,0.809,0.9351280419736548
test_ff,bridge_expert_mean,FE,stargan,200,2000,0.8254545454545454,0.8995,0.99,0.809,0.914895
test_ff,bridge_expert_mean,FE,starganv2,200,2000,0.8263636363636364,0.9045000000000001,1.0,0.809,0.88689
test_ff,bridge_expert_mean,FR,MRAA,4455,2000,0.9315259488768397,0.8977659932659933,0.9865319865319865,0.809,0.9902102132435466
test_ff,bridge_expert_mean,FR,danet,4411,2000,0.9153018249883014,0.8862501700294718,0.9635003400589436,0.809,0.9754820902289729
test_ff,bridge_expert_mean,FR,facevid2vid,4467,2000,0.940930879851554,0.9045000000000001,1.0,0.809,0.9895488023281845
test_ff,bridge_expert_mean,FR,fomm,4454,2000,0.9387976448713976,0.9030406376290975,0.9970812752581949,0.809,0.9941937584193983
test_ff,bridge_expert_mean,FR,hyperreenact,4479,2000,0.9405772495755518,0.9041651038178165,0.999330207635633,0.809,0.99803527573119
test_ff,bridge_expert_mean,FR,lia,4447,2000,0.9098805646036916,0.8821253654148864,0.9552507308297729,0.809,0.9719244434450193
test_ff,bridge_expert_mean,FR,mcnet,4400,2000,0.921875,0.8910909090909092,0.9731818181818181,0.809,0.9788546590909092
